Age,Age_Bands,Area,Gender,Population
22,20 - 24,Aberdeenshire,Female,1299
22,20 - 24,Angus,Female,619
22,20 - 24,Argyll and Bute,Female,396
22,20 - 24,City of Edinburgh,Female,5126
22,20 - 24,Clackmannanshire,Female,278
22,20 - 24,Dumfries and Galloway,Female,808
22,20 - 24,Dundee City,Female,1409
22,20 - 24,East Ayrshire,Female,728
22,20 - 24,East Dunbartonshire,Female,585
22,20 - 24,East Lothian,Female,600
22,20 - 24,East Renfrewshire,Female,459
22,20 - 24,Falkirk,Female,881
22,20 - 24,Fife,Female,2508
22,20 - 24,Glasgow City,Female,5397
22,20 - 24,Highland,Female,1190
22,20 - 24,Inverclyde,Female,486
22,20 - 24,Midlothian,Female,507
22,20 - 24,Moray,Female,553
22,20 - 24,Na h-Eileanan Siar,Female,133
22,20 - 24,North Ayrshire,Female,842
22,20 - 24,North Lanarkshire,Female,1943
22,20 - 24,Orkney Islands,Female,109
22,20 - 24,Perth and Kinross,Female,778
22,20 - 24,Renfrewshire,Female,1069
22,20 - 24,Scottish Borders,Female,528
22,20 - 24,Shetland Islands,Female,109
22,20 - 24,South Ayrshire,Female,630
22,20 - 24,South Lanarkshire,Female,1888
22,20 - 24,Stirling,Female,793
22,20 - 24,West Dunbartonshire,Female,528
22,20 - 24,West Lothian,Female,1060
23,20 - 24,Aberdeen City,Male,2134
23,20 - 24,Aberdeenshire,Male,1435
23,20 - 24,Angus,Male,665
23,20 - 24,Argyll and Bute,Male,569
23,20 - 24,City of Edinburgh,Male,4396
23,20 - 24,Clackmannanshire,Male,339
23,20 - 24,Dumfries and Galloway,Male,753
23,20 - 24,Dundee City,Male,1417
23,20 - 24,East Ayrshire,Male,721
23,20 - 24,East Dunbartonshire,Male,687
23,20 - 24,East Lothian,Male,586
23,20 - 24,East Renfrewshire,Male,523
23,20 - 24,Falkirk,Male,932
23,20 - 24,Fife,Male,2244
23,20 - 24,Glasgow City,Male,5870
23,20 - 24,Highland,Male,1172
23,20 - 24,Inverclyde,Male,473
23,20 - 24,Midlothian,Male,500
23,20 - 24,Moray,Male,581
23,20 - 24,Na h-Eileanan Siar,Male,93
23,20 - 24,North Ayrshire,Male,841
23,20 - 24,North Lanarkshire,Male,2128
23,20 - 24,Orkney Islands,Male,120
23,20 - 24,Perth and Kinross,Male,937
23,20 - 24,Renfrewshire,Male,1112
23,20 - 24,Scottish Borders,Male,546
23,20 - 24,Shetland Islands,Male,137
23,20 - 24,South Ayrshire,Male,597
23,20 - 24,South Lanarkshire,Male,1911
23,20 - 24,Stirling,Male,687
23,20 - 24,West Dunbartonshire,Male,561
23,20 - 24,West Lothian,Male,1124
23,20 - 24,Aberdeen City,Female,2283
23,20 - 24,Aberdeenshire,Female,1316
23,20 - 24,Angus,Female,621
23,20 - 24,Argyll and Bute,Female,369
23,20 - 24,City of Edinburgh,Female,5094
23,20 - 24,Clackmannanshire,Female,288
23,20 - 24,Dumfries and Galloway,Female,803
23,20 - 24,Dundee City,Female,1452
23,20 - 24,East Ayrshire,Female,722
23,20 - 24,East Dunbartonshire,Female,561
23,20 - 24,East Lothian,Female,701
23,20 - 24,East Renfrewshire,Female,554
23,20 - 24,Falkirk,Female,924
23,20 - 24,Fife,Female,2330
23,20 - 24,Glasgow City,Female,6412
23,20 - 24,Highland,Female,1160
23,20 - 24,Inverclyde,Female,447
23,20 - 24,Midlothian,Female,515
23,20 - 24,Moray,Female,525
23,20 - 24,Na h-Eileanan Siar,Female,110
23,20 - 24,North Ayrshire,Female,763
23,20 - 24,North Lanarkshire,Female,2045
23,20 - 24,Orkney Islands,Female,124
23,20 - 24,Perth and Kinross,Female,885
23,20 - 24,Renfrewshire,Female,1153
23,20 - 24,Scottish Borders,Female,590
23,20 - 24,Shetland Islands,Female,120
23,20 - 24,South Ayrshire,Female,564
23,20 - 24,South Lanarkshire,Female,1835
23,20 - 24,Stirling,Female,708
23,20 - 24,West Dunbartonshire,Female,636
23,20 - 24,West Lothian,Female,1021
24,20 - 24,Aberdeen City,Male,2618
24,20 - 24,Aberdeenshire,Male,1321
24,20 - 24,Angus,Male,632
24,20 - 24,Argyll and Bute,Male,569
24,20 - 24,City of Edinburgh,Male,4796
24,20 - 24,Clackmannanshire,Male,291
24,20 - 24,Dumfries and Galloway,Male,750
24,20 - 24,Dundee City,Male,1626
24,20 - 24,East Ayrshire,Male,718
24,20 - 24,East Dunbartonshire,Male,641
24,20 - 24,East Lothian,Male,584
24,20 - 24,East Renfrewshire,Male,548
24,20 - 24,Falkirk,Male,871
24,20 - 24,Fife,Male,2314
24,20 - 24,Glasgow City,Male,6910
24,20 - 24,Highland,Male,1233
24,20 - 24,Inverclyde,Male,518
24,20 - 24,Midlothian,Male,497
24,20 - 24,Moray,Male,596
24,20 - 24,Na h-Eileanan Siar,Male,139
24,20 - 24,North Ayrshire,Male,767
24,20 - 24,North Lanarkshire,Male,2165
24,20 - 24,Orkney Islands,Male,107
24,20 - 24,Perth and Kinross,Male,939
24,20 - 24,Renfrewshire,Male,1156
24,20 - 24,Scottish Borders,Male,515
24,20 - 24,Shetland Islands,Male,160
24,20 - 24,South Ayrshire,Male,594
24,20 - 24,South Lanarkshire,Male,1898
24,20 - 24,Stirling,Male,708
24,20 - 24,West Dunbartonshire,Male,598
24,20 - 24,West Lothian,Male,1029
24,20 - 24,Aberdeen City,Female,2564
24,20 - 24,Aberdeenshire,Female,1333
24,20 - 24,Angus,Female,595
24,20 - 24,Argyll and Bute,Female,330
24,20 - 24,City of Edinburgh,Female,5658
24,20 - 24,Clackmannanshire,Female,293
24,20 - 24,Dumfries and Galloway,Female,741
24,20 - 24,Dundee City,Female,1596
24,20 - 24,East Ayrshire,Female,731
24,20 - 24,East Dunbartonshire,Female,625
24,20 - 24,East Lothian,Female,723
24,20 - 24,East Renfrewshire,Female,479
24,20 - 24,Falkirk,Female,958
24,20 - 24,Fife,Female,2288
24,20 - 24,Glasgow City,Female,7109
24,20 - 24,Highland,Female,1156
24,20 - 24,Inverclyde,Female,511
24,20 - 24,Midlothian,Female,552
24,20 - 24,Moray,Female,522
24,20 - 24,Na h-Eileanan Siar,Female,98
24,20 - 24,North Ayrshire,Female,766
24,20 - 24,North Lanarkshire,Female,2195
24,20 - 24,Orkney Islands,Female,117
24,20 - 24,Perth and Kinross,Female,797
24,20 - 24,Renfrewshire,Female,1229
24,20 - 24,Scottish Borders,Female,532
24,20 - 24,Shetland Islands,Female,112
24,20 - 24,South Ayrshire,Female,584
24,20 - 24,South Lanarkshire,Female,1960
24,20 - 24,Stirling,Female,711
24,20 - 24,West Dunbartonshire,Female,615
24,20 - 24,West Lothian,Female,1060
25,25 - 29,Aberdeen City,Male,2744
25,25 - 29,Aberdeenshire,Male,1487
25,25 - 29,Angus,Male,655
25,25 - 29,Argyll and Bute,Male,576
25,25 - 29,City of Edinburgh,Male,5408
25,25 - 29,Clackmannanshire,Male,258
25,25 - 29,Dumfries and Galloway,Male,761
25,25 - 29,Dundee City,Male,1557
25,25 - 29,East Ayrshire,Male,703
25,25 - 29,East Dunbartonshire,Male,634
25,25 - 29,East Lothian,Male,535
25,25 - 29,East Renfrewshire,Male,481
25,25 - 29,Falkirk,Male,968
25,25 - 29,Fife,Male,2190
25,25 - 29,Glasgow City,Male,6676
25,25 - 29,Highland,Male,1212
25,25 - 29,Inverclyde,Male,536
25,25 - 29,Midlothian,Male,513
25,25 - 29,Moray,Male,599
25,25 - 29,Na h-Eileanan Siar,Male,87
25,25 - 29,North Ayrshire,Male,821
25,25 - 29,North Lanarkshire,Male,2150
25,25 - 29,Orkney Islands,Male,114
25,25 - 29,Perth and Kinross,Male,952
25,25 - 29,Renfrewshire,Male,1154
25,25 - 29,Scottish Borders,Male,450
25,25 - 29,Shetland Islands,Male,112
25,25 - 29,South Ayrshire,Male,559
25,25 - 29,South Lanarkshire,Male,1832
25,25 - 29,Stirling,Male,668
25,25 - 29,West Dunbartonshire,Male,603
25,25 - 29,West Lothian,Male,1078
25,25 - 29,Aberdeen City,Female,2581
25,25 - 29,Aberdeenshire,Female,1270
25,25 - 29,Angus,Female,567
25,25 - 29,Argyll and Bute,Female,368
25,25 - 29,City of Edinburgh,Female,5868
25,25 - 29,Clackmannanshire,Female,284
25,25 - 29,Dumfries and Galloway,Female,784
25,25 - 29,Dundee City,Female,1581
25,25 - 29,East Ayrshire,Female,764
25,25 - 29,East Dunbartonshire,Female,559
25,25 - 29,East Lothian,Female,599
25,25 - 29,East Renfrewshire,Female,435
25,25 - 29,Falkirk,Female,926
25,25 - 29,Fife,Female,2279
25,25 - 29,Glasgow City,Female,6998
25,25 - 29,Highland,Female,1204
25,25 - 29,Inverclyde,Female,491
25,25 - 29,Midlothian,Female,545
25,25 - 29,Moray,Female,460
25,25 - 29,Na h-Eileanan Siar,Female,98
25,25 - 29,North Ayrshire,Female,775
25,25 - 29,North Lanarkshire,Female,2101
25,25 - 29,Orkney Islands,Female,116
25,25 - 29,Perth and Kinross,Female,785
25,25 - 29,Renfrewshire,Female,1127
25,25 - 29,Scottish Borders,Female,490
25,25 - 29,Shetland Islands,Female,137
25,25 - 29,South Ayrshire,Female,563
25,25 - 29,South Lanarkshire,Female,1864
25,25 - 29,Stirling,Female,717
25,25 - 29,West Dunbartonshire,Female,585
25,25 - 29,West Lothian,Female,1061
26,25 - 29,Aberdeen City,Male,2637
26,25 - 29,Aberdeenshire,Male,1389
26,25 - 29,Angus,Male,616
26,25 - 29,Argyll and Bute,Male,469
26,25 - 29,City of Edinburgh,Male,5242
26,25 - 29,Clackmannanshire,Male,254
26,25 - 29,Dumfries and Galloway,Male,748
26,25 - 29,Dundee City,Male,1460
26,25 - 29,East Ayrshire,Male,717
26,25 - 29,East Dunbartonshire,Male,613
26,25 - 29,East Lothian,Male,503
26,25 - 29,East Renfrewshire,Male,494
26,25 - 29,Falkirk,Male,941
26,25 - 29,Fife,Male,2166
26,25 - 29,Glasgow City,Male,6428
26,25 - 29,Highland,Male,1207
26,25 - 29,Inverclyde,Male,465
26,25 - 29,Midlothian,Male,489
26,25 - 29,Moray,Male,530
26,25 - 29,Na h-Eileanan Siar,Male,116
26,25 - 29,North Ayrshire,Male,646
26,25 - 29,North Lanarkshire,Male,2043
26,25 - 29,Orkney Islands,Male,146
26,25 - 29,Perth and Kinross,Male,720
26,25 - 29,Renfrewshire,Male,1186
26,25 - 29,Scottish Borders,Male,534
26,25 - 29,Shetland Islands,Male,136
26,25 - 29,South Ayrshire,Male,569
26,25 - 29,South Lanarkshire,Male,1700
26,25 - 29,Stirling,Male,682
26,25 - 29,West Dunbartonshire,Male,584
26,25 - 29,West Lothian,Male,1015
26,25 - 29,Aberdeen City,Female,2420
26,25 - 29,Aberdeenshire,Female,1283
26,25 - 29,Angus,Female,509
26,25 - 29,Argyll and Bute,Female,408
26,25 - 29,City of Edinburgh,Female,5714
26,25 - 29,Clackmannanshire,Female,301
26,25 - 29,Dumfries and Galloway,Female,749
26,25 - 29,Dundee City,Female,1528
26,25 - 29,East Ayrshire,Female,708
26,25 - 29,East Dunbartonshire,Female,464
26,25 - 29,East Lothian,Female,556
26,25 - 29,East Renfrewshire,Female,417
26,25 - 29,Falkirk,Female,871
26,25 - 29,Fife,Female,2247
26,25 - 29,Glasgow City,Female,6643
26,25 - 29,Highland,Female,1176
26,25 - 29,Inverclyde,Female,478
26,25 - 29,Midlothian,Female,482
26,25 - 29,Moray,Female,520
26,25 - 29,Na h-Eileanan Siar,Female,111
26,25 - 29,North Ayrshire,Female,724
26,25 - 29,North Lanarkshire,Female,2025
26,25 - 29,Orkney Islands,Female,114
26,25 - 29,Perth and Kinross,Female,710
26,25 - 29,Renfrewshire,Female,1085
26,25 - 29,Scottish Borders,Female,535
26,25 - 29,Shetland Islands,Female,132
26,25 - 29,South Ayrshire,Female,556
26,25 - 29,South Lanarkshire,Female,1740
26,25 - 29,Stirling,Female,692
26,25 - 29,West Dunbartonshire,Female,576
26,25 - 29,West Lothian,Female,1024
27,25 - 29,Aberdeen City,Male,2749
27,25 - 29,Aberdeenshire,Male,1364
27,25 - 29,Angus,Male,585
27,25 - 29,Argyll and Bute,Male,533
27,25 - 29,City of Edinburgh,Male,5415
27,25 - 29,Clackmannanshire,Male,223
27,25 - 29,Dumfries and Galloway,Male,719
27,25 - 29,Dundee City,Male,1417
27,25 - 29,East Ayrshire,Male,721
27,25 - 29,East Dunbartonshire,Male,556
27,25 - 29,East Lothian,Male,459
27,25 - 29,East Renfrewshire,Male,458
27,25 - 29,Falkirk,Male,853
27,25 - 29,Fife,Male,2106
27,25 - 29,Glasgow City,Male,6424
27,25 - 29,Highland,Male,1223
27,25 - 29,Inverclyde,Male,425
27,25 - 29,Midlothian,Male,493
27,25 - 29,Moray,Male,569
27,25 - 29,Na h-Eileanan Siar,Male,137
27,25 - 29,North Ayrshire,Male,739
27,25 - 29,North Lanarkshire,Male,1949
27,25 - 29,Orkney Islands,Male,104
27,25 - 29,Perth and Kinross,Male,734
27,25 - 29,Renfrewshire,Male,1104
27,25 - 29,Scottish Borders,Male,477
27,25 - 29,Shetland Islands,Male,134
27,25 - 29,South Ayrshire,Male,551
27,25 - 29,South Lanarkshire,Male,1718
27,25 - 29,Stirling,Male,621
27,25 - 29,West Dunbartonshire,Male,505
27,25 - 29,West Lothian,Male,1037
27,25 - 29,Aberdeen City,Female,2338
27,25 - 29,Aberdeenshire,Female,1265
27,25 - 29,Angus,Female,556
27,25 - 29,Argyll and Bute,Female,382
27,25 - 29,City of Edinburgh,Female,5651
27,25 - 29,Clackmannanshire,Female,255
27,25 - 29,Dumfries and Galloway,Female,701
27,25 - 29,Dundee City,Female,1281
27,25 - 29,East Ayrshire,Female,735
27,25 - 29,East Dunbartonshire,Female,488
27,25 - 29,East Lothian,Female,576
27,25 - 29,East Renfrewshire,Female,509
27,25 - 29,Falkirk,Female,869
27,25 - 29,Fife,Female,2237
27,25 - 29,Glasgow City,Female,6554
27,25 - 29,Highland,Female,1202
27,25 - 29,Inverclyde,Female,441
27,25 - 29,Midlothian,Female,528
27,25 - 29,Moray,Female,549
27,25 - 29,Na h-Eileanan Siar,Female,130
27,25 - 29,North Ayrshire,Female,737
27,25 - 29,North Lanarkshire,Female,2127
27,25 - 29,Orkney Islands,Female,105
27,25 - 29,Perth and Kinross,Female,779
27,25 - 29,Renfrewshire,Female,1051
27,25 - 29,Scottish Borders,Female,481
27,25 - 29,Shetland Islands,Female,133
27,25 - 29,South Ayrshire,Female,542
27,25 - 29,South Lanarkshire,Female,1774
27,25 - 29,Stirling,Female,705
27,25 - 29,West Dunbartonshire,Female,604
27,25 - 29,West Lothian,Female,1033
28,25 - 29,Aberdeen City,Male,2486
28,25 - 29,Aberdeenshire,Male,1409
28,25 - 29,Angus,Male,592
28,25 - 29,Argyll and Bute,Male,484
28,25 - 29,City of Edinburgh,Male,5049
28,25 - 29,Clackmannanshire,Male,308
28,25 - 29,Dumfries and Galloway,Male,740
28,25 - 29,Dundee City,Male,1289
28,25 - 29,East Ayrshire,Male,697
28,25 - 29,East Dunbartonshire,Male,543
28,25 - 29,East Lothian,Male,529
28,25 - 29,East Renfrewshire,Male,431
28,25 - 29,Falkirk,Male,887
28,25 - 29,Fife,Male,2069
28,25 - 29,Glasgow City,Male,6345
28,25 - 29,Highland,Male,1262
28,25 - 29,Inverclyde,Male,442
28,25 - 29,Midlothian,Male,502
28,25 - 29,Moray,Male,598
28,25 - 29,Na h-Eileanan Siar,Male,124
28,25 - 29,North Ayrshire,Male,704
28,25 - 29,North Lanarkshire,Male,2173
28,25 - 29,Orkney Islands,Male,119
28,25 - 29,Perth and Kinross,Male,841
28,25 - 29,Renfrewshire,Male,1100
28,25 - 29,Scottish Borders,Male,536
28,25 - 29,Shetland Islands,Male,159
28,25 - 29,South Ayrshire,Male,542
28,25 - 29,South Lanarkshire,Male,1784
28,25 - 29,Stirling,Male,518
28,25 - 29,West Dunbartonshire,Male,551
28,25 - 29,West Lothian,Male,1144
28,25 - 29,Aberdeen City,Female,2228
28,25 - 29,Aberdeenshire,Female,1442
28,25 - 29,Angus,Female,632
28,25 - 29,Argyll and Bute,Female,333
28,25 - 29,City of Edinburgh,Female,5285
28,25 - 29,Clackmannanshire,Female,296
28,25 - 29,Dumfries and Galloway,Female,832
28,25 - 29,Dundee City,Female,1300
28,25 - 29,East Ayrshire,Female,726
28,25 - 29,East Dunbartonshire,Female,516
28,25 - 29,East Lothian,Female,519
28,25 - 29,East Renfrewshire,Female,494
28,25 - 29,Falkirk,Female,1026
28,25 - 29,Fife,Female,2211
28,25 - 29,Glasgow City,Female,6310
28,25 - 29,Highland,Female,1272
28,25 - 29,Inverclyde,Female,464
28,25 - 29,Midlothian,Female,562
28,25 - 29,Moray,Female,518
28,25 - 29,Na h-Eileanan Siar,Female,136
28,25 - 29,North Ayrshire,Female,832
28,25 - 29,North Lanarkshire,Female,2142
28,25 - 29,Orkney Islands,Female,131
28,25 - 29,Perth and Kinross,Female,813
28,25 - 29,Renfrewshire,Female,1187
28,25 - 29,Scottish Borders,Female,474
28,25 - 29,Shetland Islands,Female,134
28,25 - 29,South Ayrshire,Female,584
28,25 - 29,South Lanarkshire,Female,1795
28,25 - 29,Stirling,Female,601
28,25 - 29,West Dunbartonshire,Female,599
28,25 - 29,West Lothian,Female,1162
29,25 - 29,Aberdeen City,Male,2468
29,25 - 29,Aberdeenshire,Male,1420
29,25 - 29,Angus,Male,560
29,25 - 29,Argyll and Bute,Male,424
29,25 - 29,City of Edinburgh,Male,4839
29,25 - 29,Clackmannanshire,Male,283
29,25 - 29,Dumfries and Galloway,Male,704
29,25 - 29,Dundee City,Male,1292
29,25 - 29,East Ayrshire,Male,714
29,25 - 29,East Dunbartonshire,Male,477
29,25 - 29,East Lothian,Male,525
29,25 - 29,East Renfrewshire,Male,371
29,25 - 29,Falkirk,Male,889
29,25 - 29,Fife,Male,1935
29,25 - 29,Glasgow City,Male,5955
29,25 - 29,Highland,Male,1272
29,25 - 29,Inverclyde,Male,454
29,25 - 29,Midlothian,Male,463
29,25 - 29,Moray,Male,593
29,25 - 29,Na h-Eileanan Siar,Male,149
29,25 - 29,North Ayrshire,Male,654
29,25 - 29,North Lanarkshire,Male,1882
29,25 - 29,Orkney Islands,Male,122
29,25 - 29,Perth and Kinross,Male,794
29,25 - 29,Renfrewshire,Male,1175
29,25 - 29,Scottish Borders,Male,468
29,25 - 29,Shetland Islands,Male,166
29,25 - 29,South Ayrshire,Male,578
29,25 - 29,South Lanarkshire,Male,1686
29,25 - 29,Stirling,Male,505
29,25 - 29,West Dunbartonshire,Male,625
29,25 - 29,West Lothian,Male,1130
29,25 - 29,Aberdeen City,Female,2079
29,25 - 29,Aberdeenshire,Female,1506
29,25 - 29,Angus,Female,655
29,25 - 29,Argyll and Bute,Female,389
29,25 - 29,City of Edinburgh,Female,4968
29,25 - 29,Clackmannanshire,Female,272
29,25 - 29,Dumfries and Galloway,Female,780
29,25 - 29,Dundee City,Female,1194
29,25 - 29,East Ayrshire,Female,773
29,25 - 29,East Dunbartonshire,Female,442
29,25 - 29,East Lothian,Female,546
29,25 - 29,East Renfrewshire,Female,393
29,25 - 29,Falkirk,Female,949
29,25 - 29,Fife,Female,2172
29,25 - 29,Glasgow City,Female,6098
29,25 - 29,Highland,Female,1296
29,25 - 29,Inverclyde,Female,423
29,25 - 29,Midlothian,Female,536
29,25 - 29,Moray,Female,560
29,25 - 29,Na h-Eileanan Siar,Female,136
29,25 - 29,North Ayrshire,Female,755
29,25 - 29,North Lanarkshire,Female,2212
29,25 - 29,Orkney Islands,Female,129
29,25 - 29,Perth and Kinross,Female,803
29,25 - 29,Renfrewshire,Female,1174
29,25 - 29,Scottish Borders,Female,503
29,25 - 29,Shetland Islands,Female,158
29,25 - 29,South Ayrshire,Female,619
29,25 - 29,South Lanarkshire,Female,1794
29,25 - 29,Stirling,Female,537
29,25 - 29,West Dunbartonshire,Female,531
29,25 - 29,West Lothian,Female,1239
30,30 - 34,Aberdeen City,Male,2324
30,30 - 34,Aberdeenshire,Male,1427
30,30 - 34,Angus,Male,617
30,30 - 34,Argyll and Bute,Male,415
30,30 - 34,City of Edinburgh,Male,4636
30,30 - 34,Clackmannanshire,Male,313
30,30 - 34,Dumfries and Galloway,Male,721
30,30 - 34,Dundee City,Male,1087
30,30 - 34,East Ayrshire,Male,737
30,30 - 34,East Dunbartonshire,Male,502
30,30 - 34,East Lothian,Male,491
30,30 - 34,East Renfrewshire,Male,367
30,30 - 34,Falkirk,Male,918
30,30 - 34,Fife,Male,2076
30,30 - 34,Glasgow City,Male,6053
30,30 - 34,Highland,Male,1341
30,30 - 34,Inverclyde,Male,496
30,30 - 34,Midlothian,Male,536
30,30 - 34,Moray,Male,567
30,30 - 34,Na h-Eileanan Siar,Male,121
30,30 - 34,North Ayrshire,Male,651
30,30 - 34,North Lanarkshire,Male,2045
30,30 - 34,Orkney Islands,Male,99
30,30 - 34,Perth and Kinross,Male,815
30,30 - 34,Renfrewshire,Male,1107
30,30 - 34,Scottish Borders,Male,495
30,30 - 34,Shetland Islands,Male,151
30,30 - 34,South Ayrshire,Male,510
30,30 - 34,South Lanarkshire,Male,1716
30,30 - 34,Stirling,Male,453
30,30 - 34,West Dunbartonshire,Male,598
30,30 - 34,West Lothian,Male,1082
30,30 - 34,Aberdeen City,Female,2097
30,30 - 34,Aberdeenshire,Female,1555
30,30 - 34,Angus,Female,665
30,30 - 34,Argyll and Bute,Female,348
30,30 - 34,City of Edinburgh,Female,4780
30,30 - 34,Clackmannanshire,Female,289
30,30 - 34,Dumfries and Galloway,Female,686
30,30 - 34,Dundee City,Female,1070
30,30 - 34,East Ayrshire,Female,774
30,30 - 34,East Dunbartonshire,Female,455
30,30 - 34,East Lothian,Female,607
30,30 - 34,East Renfrewshire,Female,414
30,30 - 34,Falkirk,Female,983
30,30 - 34,Fife,Female,2170
30,30 - 34,Glasgow City,Female,5733
30,30 - 34,Highland,Female,1286
30,30 - 34,Inverclyde,Female,476
30,30 - 34,Midlothian,Female,562
30,30 - 34,Moray,Female,607
30,30 - 34,Na h-Eileanan Siar,Female,116
30,30 - 34,North Ayrshire,Female,764
30,30 - 34,North Lanarkshire,Female,2227
30,30 - 34,Orkney Islands,Female,118
30,30 - 34,Perth and Kinross,Female,841
30,30 - 34,Renfrewshire,Female,993
30,30 - 34,Scottish Borders,Female,522
30,30 - 34,Shetland Islands,Female,122
30,30 - 34,South Ayrshire,Female,578
30,30 - 34,South Lanarkshire,Female,1958
30,30 - 34,Stirling,Female,507
30,30 - 34,West Dunbartonshire,Female,619
30,30 - 34,West Lothian,Female,1177
31,30 - 34,Aberdeen City,Male,2172
31,30 - 34,Aberdeenshire,Male,1532
31,30 - 34,Angus,Male,603
31,30 - 34,Argyll and Bute,Male,413
31,30 - 34,City of Edinburgh,Male,4707
31,30 - 34,Clackmannanshire,Male,279
31,30 - 34,Dumfries and Galloway,Male,755
31,30 - 34,Dundee City,Male,1172
31,30 - 34,East Ayrshire,Male,623
31,30 - 34,East Dunbartonshire,Male,492
31,30 - 34,East Lothian,Male,513
31,30 - 34,East Renfrewshire,Male,368
31,30 - 34,Falkirk,Male,945
31,30 - 34,Fife,Male,1976
31,30 - 34,Glasgow City,Male,5796
31,30 - 34,Highland,Male,1280
31,30 - 34,Inverclyde,Male,405
31,30 - 34,Midlothian,Male,460
31,30 - 34,Moray,Male,585
31,30 - 34,Na h-Eileanan Siar,Male,120
31,30 - 34,North Ayrshire,Male,633
31,30 - 34,North Lanarkshire,Male,1983
31,30 - 34,Orkney Islands,Male,131
31,30 - 34,Perth and Kinross,Male,805
31,30 - 34,Renfrewshire,Male,1083
31,30 - 34,Scottish Borders,Male,470
31,30 - 34,Shetland Islands,Male,118
31,30 - 34,South Ayrshire,Male,491
31,30 - 34,South Lanarkshire,Male,1815
31,30 - 34,Stirling,Male,408
31,30 - 34,West Dunbartonshire,Male,566
31,30 - 34,West Lothian,Male,1075
31,30 - 34,Aberdeen City,Female,2083
31,30 - 34,Aberdeenshire,Female,1591
31,30 - 34,Angus,Female,602
31,30 - 34,Argyll and Bute,Female,394
31,30 - 34,City of Edinburgh,Female,4815
31,30 - 34,Clackmannanshire,Female,317
31,30 - 34,Dumfries and Galloway,Female,727
31,30 - 34,Dundee City,Female,1152
31,30 - 34,East Ayrshire,Female,733
31,30 - 34,East Dunbartonshire,Female,437
31,30 - 34,East Lothian,Female,538
31,30 - 34,East Renfrewshire,Female,375
31,30 - 34,Falkirk,Female,1032
31,30 - 34,Fife,Female,2160
31,30 - 34,Glasgow City,Female,5640
31,30 - 34,Highland,Female,1351
31,30 - 34,Inverclyde,Female,445
31,30 - 34,Midlothian,Female,562
31,30 - 34,Moray,Female,618
31,30 - 34,Na h-Eileanan Siar,Female,120
31,30 - 34,North Ayrshire,Female,736
31,30 - 34,North Lanarkshire,Female,2295
31,30 - 34,Orkney Islands,Female,128
31,30 - 34,Perth and Kinross,Female,902
31,30 - 34,Renfrewshire,Female,1096
31,30 - 34,Scottish Borders,Female,539
31,30 - 34,Shetland Islands,Female,132
31,30 - 34,South Ayrshire,Female,569
31,30 - 34,South Lanarkshire,Female,1890
31,30 - 34,Stirling,Female,518
31,30 - 34,West Dunbartonshire,Female,594
31,30 - 34,West Lothian,Female,1221
32,30 - 34,Aberdeen City,Male,2036
32,30 - 34,Aberdeenshire,Male,1470
32,30 - 34,Angus,Male,559
32,30 - 34,Argyll and Bute,Male,433
32,30 - 34,City of Edinburgh,Male,4339
32,30 - 34,Clackmannanshire,Male,250
32,30 - 34,Dumfries and Galloway,Male,691
32,30 - 34,Dundee City,Male,1064
32,30 - 34,East Ayrshire,Male,640
32,30 - 34,East Dunbartonshire,Male,417
32,30 - 34,East Lothian,Male,474
32,30 - 34,East Renfrewshire,Male,368
32,30 - 34,Falkirk,Male,922
32,30 - 34,Fife,Male,1945
32,30 - 34,Glasgow City,Male,5430
32,30 - 34,Highland,Male,1344
32,30 - 34,Inverclyde,Male,439
32,30 - 34,Midlothian,Male,508
32,30 - 34,Moray,Male,602
32,30 - 34,Na h-Eileanan Siar,Male,122
32,30 - 34,North Ayrshire,Male,636
32,30 - 34,North Lanarkshire,Male,2035
32,30 - 34,Orkney Islands,Male,89
32,30 - 34,Perth and Kinross,Male,873
32,30 - 34,Renfrewshire,Male,1052
32,30 - 34,Scottish Borders,Male,496
32,30 - 34,Shetland Islands,Male,120
32,30 - 34,South Ayrshire,Male,507
32,30 - 34,South Lanarkshire,Male,1745
32,30 - 34,Stirling,Male,513
32,30 - 34,West Dunbartonshire,Male,479
32,30 - 34,West Lothian,Male,1188
32,30 - 34,Aberdeen City,Female,1814
32,30 - 34,Aberdeenshire,Female,1623
32,30 - 34,Angus,Female,640
32,30 - 34,Argyll and Bute,Female,360
32,30 - 34,City of Edinburgh,Female,4545
32,30 - 34,Clackmannanshire,Female,278
32,30 - 34,Dumfries and Galloway,Female,778
32,30 - 34,Dundee City,Female,1092
32,30 - 34,East Ayrshire,Female,708
32,30 - 34,East Dunbartonshire,Female,512
32,30 - 34,East Lothian,Female,579
32,30 - 34,East Renfrewshire,Female,464
32,30 - 34,Falkirk,Female,1006
32,30 - 34,Fife,Female,2089
32,30 - 34,Glasgow City,Female,5140
32,30 - 34,Highland,Female,1356
32,30 - 34,Inverclyde,Female,426
32,30 - 34,Midlothian,Female,551
32,30 - 34,Moray,Female,575
32,30 - 34,Na h-Eileanan Siar,Female,134
32,30 - 34,North Ayrshire,Female,707
32,30 - 34,North Lanarkshire,Female,2234
32,30 - 34,Orkney Islands,Female,113
32,30 - 34,Perth and Kinross,Female,895
32,30 - 34,Renfrewshire,Female,1066
32,30 - 34,Scottish Borders,Female,558
