Year,Age,Gender,Pop_Count_Projection,SIM,Pop_Count_Reference,index_col
2016,66,Male,31.0,0,31,Male66
2016,67,Male,29.0,0,29,Male67
2016,68,Male,43.0,0,43,Male68
2016,69,Male,48.0,0,48,Male69
2016,70,Male,42.0,0,42,Male70
2016,71,Male,20.0,0,20,Male71
2016,72,Male,29.0,0,29,Male72
2016,73,Male,21.0,0,21,Male73
2016,74,Male,17.0,0,17,Male74
2016,75,Male,19.0,0,19,Male75
2016,76,Male,23.0,0,23,Male76
2016,77,Male,20.0,0,20,Male77
2016,78,Male,15.0,0,15,Male78
2016,79,Male,19.0,0,19,Male79
2016,80,Male,14.0,0,14,Male80
2016,81,Male,16.0,0,16,Male81
2016,82,Male,8.0,0,8,Male82
2016,83,Male,11.0,0,11,Male83
2016,84,Male,7.0,0,7,Male84
2016,85,Male,8.0,0,8,Male85
2016,86,Male,6.0,0,6,Male86
2016,87,Male,3.0,0,3,Male87
2016,88,Male,13.0,0,13,Male88
2016,89,Male,4.0,0,4,Male89
2016,90+,Male,17.0,0,17,Male90+
2017,0,Female,0.0,0,21,Female0
2017,1,Female,21.0,0,25,Female1
2017,2,Female,25.0,0,14,Female2
2017,3,Female,14.0,0,29,Female3
2017,4,Female,29.0,0,19,Female4
2017,5,Female,19.0,0,18,Female5
2017,6,Female,18.0,0,25,Female6
2017,7,Female,25.0,0,29,Female7
2017,8,Female,29.0,0,16,Female8
2017,9,Female,16.0,0,29,Female9
2017,10,Female,29.0,0,30,Female10
2017,11,Female,30.0,0,20,Female11
2017,12,Female,20.0,0,25,Female12
2017,13,Female,25.0,0,27,Female13
2017,14,Female,27.0,0,17,Female14
2017,15,Female,17.0,0,35,Female15
2017,16,Female,35.0,0,12,Female16
2017,17,Female,12.0,0,20,Female17
2017,18,Female,20.0,0,20,Female18
2017,19,Female,20.0,0,16,Female19
2017,20,Female,16.0,0,20,Female20
2017,21,Female,20.0,0,14,Female21
2017,22,Female,14.0,0,16,Female22
2017,23,Female,16.0,0,20,Female23
2017,24,Female,20.0,0,17,Female24
2017,25,Female,17.0,0,18,Female25
2017,26,Female,18.0,0,14,Female26
2017,27,Female,14.0,0,31,Female27
2017,28,Female,31.0,0,26,Female28
2017,29,Female,26.0,0,15,Female29
2017,30,Female,15.0,0,20,Female30
2017,31,Female,20.0,0,16,Female31
2017,32,Female,16.0,0,19,Female32
2017,33,Female,19.0,0,22,Female33
2017,34,Female,22.0,0,22,Female34
2017,35,Female,22.0,0,31,Female35
2017,36,Female,31.0,0,27,Female36
2017,37,Female,27.0,0,33,Female37
2017,38,Female,33.0,0,21,Female38
2017,39,Female,21.0,0,29,Female39
2017,40,Female,29.0,0,32,Female40
2017,41,Female,32.0,0,25,Female41
2017,42,Female,25.0,0,28,Female42
2017,43,Female,28.0,0,37,Female43
2017,44,Female,37.0,0,20,Female44
2017,45,Female,19.0,0,27,Female45
2017,46,Female,27.0,0,32,Female46
2017,47,Female,32.0,0,32,Female47
2017,48,Female,32.0,0,56,Female48
2017,49,Female,56.0,0,37,Female49
2017,50,Female,37.0,0,54,Female50
2017,51,Female,54.0,0,36,Female51
2017,52,Female,36.0,0,29,Female52
2017,53,Female,29.0,0,39,Female53
2017,54,Female,39.0,0,35,Female54
2017,55,Female,35.0,0,28,Female55
2017,56,Female,28.0,0,42,Female56
2017,57,Female,42.0,0,49,Female57
2017,58,Female,48.0,0,31,Female58
2017,59,Female,31.0,0,38,Female59
2017,60,Female,38.0,0,31,Female60
2017,61,Female,31.0,0,36,Female61
2017,62,Female,36.0,0,29,Female62
2017,63,Female,28.0,0,44,Female63
2017,64,Female,44.0,0,43,Female64
2017,65,Female,42.0,0,40,Female65
2017,66,Female,40.0,0,42,Female66
2017,67,Female,42.0,0,36,Female67
2017,68,Female,36.0,0,30,Female68
2017,69,Female,28.0,0,38,Female69
2017,70,Female,38.0,0,35,Female70
2017,71,Female,35.0,0,23,Female71
2017,72,Female,23.0,0,32,Female72
2017,73,Female,30.0,0,30,Female73
2017,74,Female,29.0,0,13,Female74
2017,75,Female,12.0,0,29,Female75
2017,76,Female,28.0,0,22,Female76
2017,77,Female,21.0,0,23,Female77
2017,78,Female,23.0,0,27,Female78
2017,79,Female,26.0,0,20,Female79
2017,80,Female,19.0,0,14,Female80
2017,81,Female,13.0,0,14,Female81
2017,82,Female,13.0,0,14,Female82
2017,83,Female,14.0,0,23,Female83
2017,84,Female,23.0,0,15,Female84
2017,85,Female,15.0,0,13,Female85
2017,86,Female,10.0,0,11,Female86
2017,87,Female,9.0,0,9,Female87
2017,88,Female,8.0,0,14,Female88
2017,89,Female,13.0,0,3,Female89
2017,90+,Female,30.0,0,39,Female90+
2017,0,Male,0.0,0,24,Male0
2017,1,Male,24.0,0,13,Male1
2017,2,Male,13.0,0,22,Male2
2017,3,Male,22.0,0,16,Male3
2017,4,Male,16.0,0,19,Male4
2017,5,Male,19.0,0,25,Male5
2017,6,Male,25.0,0,37,Male6
2017,7,Male,37.0,0,23,Male7
2017,8,Male,23.0,0,26,Male8
2017,9,Male,26.0,0,30,Male9
2017,10,Male,30.0,0,34,Male10
2017,11,Male,34.0,0,27,Male11
2017,12,Male,27.0,0,30,Male12
2017,13,Male,30.0,0,24,Male13
2017,14,Male,24.0,0,19,Male14
2017,15,Male,19.0,0,23,Male15
2017,16,Male,23.0,0,18,Male16
2017,17,Male,18.0,0,33,Male17
2017,18,Male,33.0,0,27,Male18
2017,19,Male,27.0,0,17,Male19
2017,20,Male,17.0,0,24,Male20
2017,21,Male,24.0,0,29,Male21
2017,22,Male,29.0,0,22,Male22
2017,23,Male,22.0,0,12,Male23
2017,24,Male,12.0,0,20,Male24
2017,25,Male,20.0,0,12,Male25
2017,26,Male,12.0,0,23,Male26
2017,27,Male,23.0,0,25,Male27
2017,28,Male,25.0,0,28,Male28
2017,29,Male,28.0,0,24,Male29
2017,30,Male,24.0,0,18,Male30
2017,31,Male,18.0,0,14,Male31
2017,32,Male,14.0,0,21,Male32
2017,33,Male,21.0,0,19,Male33
2017,34,Male,19.0,0,14,Male34
2017,35,Male,13.0,0,18,Male35
2017,36,Male,18.0,0,18,Male36
2017,37,Male,18.0,0,23,Male37
2017,38,Male,23.0,0,16,Male38
2017,39,Male,16.0,0,24,Male39
2017,40,Male,24.0,0,23,Male40
2017,41,Male,23.0,0,25,Male41
2017,42,Male,25.0,0,22,Male42
2017,43,Male,22.0,0,32,Male43
2017,44,Male,32.0,0,31,Male44
2017,45,Male,31.0,0,36,Male45
2017,46,Male,36.0,0,32,Male46
2017,47,Male,32.0,0,31,Male47
2017,48,Male,31.0,0,45,Male48
2017,49,Male,45.0,0,32,Male49
2017,50,Male,32.0,0,32,Male50
2017,51,Male,32.0,0,41,Male51
2017,52,Male,41.0,0,27,Male52
2017,53,Male,27.0,0,42,Male53
2017,54,Male,42.0,0,35,Male54
2017,55,Male,35.0,0,38,Male55
2017,56,Male,37.0,0,51,Male56
2017,57,Male,51.0,0,40,Male57
2017,58,Male,40.0,0,49,Male58
2017,59,Male,49.0,0,49,Male59
2017,60,Male,49.0,0,29,Male60
2017,61,Male,29.0,0,39,Male61
2017,62,Male,39.0,0,30,Male62
2017,63,Male,30.0,0,40,Male63
