Age,Gender,Pop_Count_Projection,SIM,Year,Pop_Count_Reference,index_col
62,Male,30,0,2016,30,Male62
63,Male,40,0,2016,40,Male63
64,Male,38,0,2016,38,Male64
65,Male,39,0,2016,39,Male65
66,Male,31,0,2016,31,Male66
67,Male,29,0,2016,29,Male67
68,Male,43,0,2016,43,Male68
69,Male,48,0,2016,48,Male69
70,Male,42,0,2016,42,Male70
71,Male,20,0,2016,20,Male71
72,Male,29,0,2016,29,Male72
73,Male,21,0,2016,21,Male73
74,Male,17,0,2016,17,Male74
75,Male,19,0,2016,19,Male75
76,Male,23,0,2016,23,Male76
77,Male,20,0,2016,20,Male77
78,Male,15,0,2016,15,Male78
79,Male,19,0,2016,19,Male79
80,Male,14,0,2016,14,Male80
81,Male,16,0,2016,16,Male81
82,Male,8,0,2016,8,Male82
83,Male,11,0,2016,11,Male83
84,Male,7,0,2016,7,Male84
85,Male,8,0,2016,8,Male85
86,Male,6,0,2016,6,Male86
87,Male,3,0,2016,3,Male87
88,Male,13,0,2016,13,Male88
89,Male,4,0,2016,4,Male89
90+,Male,17,0,2016,17,Male90+
0,Female,0,0,2017,21,Female0
1,Female,21,0,2017,25,Female1
2,Female,25,0,2017,14,Female2
3,Female,14,0,2017,29,Female3
4,Female,29,0,2017,19,Female4
5,Female,19,0,2017,18,Female5
6,Female,18,0,2017,25,Female6
7,Female,25,0,2017,29,Female7
8,Female,29,0,2017,16,Female8
9,Female,16,0,2017,29,Female9
10,Female,29,0,2017,30,Female10
11,Female,30,0,2017,20,Female11
12,Female,20,0,2017,25,Female12
13,Female,25,0,2017,27,Female13
14,Female,27,0,2017,17,Female14
15,Female,17,0,2017,35,Female15
16,Female,35,0,2017,12,Female16
17,Female,12,0,2017,20,Female17
18,Female,20,0,2017,20,Female18
19,Female,20,0,2017,16,Female19
20,Female,16,0,2017,20,Female20
21,Female,20,0,2017,14,Female21
22,Female,14,0,2017,16,Female22
23,Female,16,0,2017,20,Female23
24,Female,20,0,2017,17,Female24
25,Female,17,0,2017,18,Female25
26,Female,18,0,2017,14,Female26
27,Female,14,0,2017,31,Female27
28,Female,31,0,2017,26,Female28
29,Female,26,0,2017,15,Female29
30,Female,15,0,2017,20,Female30
31,Female,20,0,2017,16,Female31
32,Female,16,0,2017,19,Female32
33,Female,19,0,2017,22,Female33
34,Female,22,0,2017,22,Female34
35,Female,22,0,2017,31,Female35
36,Female,31,0,2017,27,Female36
37,Female,27,0,2017,33,Female37
38,Female,33,0,2017,21,Female38
39,Female,21,0,2017,29,Female39
40,Female,29,0,2017,32,Female40
41,Female,32,0,2017,25,Female41
42,Female,24,0,2017,28,Female42
43,Female,28,0,2017,37,Female43
44,Female,37,0,2017,20,Female44
45,Female,20,0,2017,27,Female45
46,Female,27,0,2017,32,Female46
47,Female,32,0,2017,32,Female47
48,Female,32,0,2017,56,Female48
49,Female,55,0,2017,37,Female49
50,Female,37,0,2017,54,Female50
51,Female,54,0,2017,36,Female51
52,Female,36,0,2017,29,Female52
53,Female,29,0,2017,39,Female53
54,Female,39,0,2017,35,Female54
55,Female,33,0,2017,28,Female55
56,Female,28,0,2017,42,Female56
57,Female,42,0,2017,49,Female57
58,Female,49,0,2017,31,Female58
59,Female,31,0,2017,38,Female59
60,Female,38,0,2017,31,Female60
61,Female,30,0,2017,36,Female61
62,Female,36,0,2017,29,Female62
63,Female,29,0,2017,44,Female63
64,Female,44,0,2017,43,Female64
65,Female,42,0,2017,40,Female65
66,Female,40,0,2017,42,Female66
67,Female,41,0,2017,36,Female67
68,Female,34,0,2017,30,Female68
69,Female,27,0,2017,38,Female69
70,Female,37,0,2017,35,Female70
71,Female,34,0,2017,23,Female71
72,Female,21,0,2017,32,Female72
73,Female,29,0,2017,30,Female73
74,Female,30,0,2017,13,Female74
75,Female,12,0,2017,29,Female75
76,Female,25,0,2017,22,Female76
77,Female,19,0,2017,23,Female77
78,Female,22,0,2017,27,Female78
79,Female,22,0,2017,20,Female79
80,Female,19,0,2017,14,Female80
81,Female,12,0,2017,14,Female81
82,Female,13,0,2017,14,Female82
83,Female,12,0,2017,23,Female83
84,Female,17,0,2017,15,Female84
85,Female,12,0,2017,13,Female85
86,Female,11,0,2017,11,Female86
87,Female,8,0,2017,9,Female87
88,Female,6,0,2017,14,Female88
89,Female,10,0,2017,3,Female89
90+,Female,21,0,2017,39,Female90+
0,Male,0,0,2017,24,Male0
1,Male,24,0,2017,13,Male1
2,Male,13,0,2017,22,Male2
3,Male,22,0,2017,16,Male3
4,Male,16,0,2017,19,Male4
5,Male,19,0,2017,25,Male5
6,Male,25,0,2017,37,Male6
7,Male,37,0,2017,23,Male7
8,Male,23,0,2017,26,Male8
9,Male,26,0,2017,30,Male9
