Age,Gender,Reference,Year,Population
45,Female,39905,2017,38060
46,Female,39222,2017,39834
47,Female,40801,2017,39145
48,Female,41543,2017,40713
49,Female,41358,2017,41445
50,Female,41391,2017,41251
51,Female,42646,2017,41274
52,Female,42441,2017,42516
53,Female,42060,2017,42301
54,Female,40724,2017,41910
55,Female,39939,2017,40566
56,Female,38427,2017,39769
57,Female,38397,2017,38249
58,Female,37263,2017,38204
59,Female,36058,2017,37062
60,Female,34941,2017,35848
61,Female,33606,2017,34720
62,Female,33002,2017,33375
63,Female,32395,2017,32755
64,Female,31202,2017,32129
65,Female,31507,2017,30921
66,Female,31414,2017,31194
67,Female,32127,2017,31068
68,Female,33103,2017,31733
69,Female,35906,2017,32652
70,Female,26974,2017,35362
71,Female,25687,2017,26519
72,Female,25970,2017,25206
73,Female,25265,2017,25432
74,Female,23254,2017,24685
75,Female,21636,2017,22662
76,Female,21833,2017,21024
77,Female,21118,2017,21144
78,Female,20348,2017,20373
79,Female,19396,2017,19547
80,Female,18453,2017,18541
81,Female,17214,2017,17541
82,Female,15965,2017,16257
83,Female,14544,2017,14964
84,Female,14041,2017,13513
85,Female,12678,2017,12917
86,Female,11277,2017,11529
87,Female,9897,2017,10123
88,Female,8421,2017,8759
89,Female,7418,2017,7336
90+,Female,29050,2017,29146
0,Male,28697,2017,27168
1,Male,29017,2017,28677
2,Male,29377,2017,29010
3,Male,29728,2017,29374
4,Male,30708,2017,29725
5,Male,31533,2017,30705
6,Male,29946,2017,31530
7,Male,30653,2017,29943
8,Male,30586,2017,30650
9,Male,29574,2017,30584
10,Male,28838,2017,29572
11,Male,28885,2017,28836
12,Male,28344,2017,28882
13,Male,27231,2017,28341
14,Male,27083,2017,27227
15,Male,28196,2017,27078
16,Male,29300,2017,28190
17,Male,30279,2017,29291
18,Male,31162,2017,30268
19,Male,33677,2017,31148
20,Male,34653,2017,33659
21,Male,35175,2017,34633
22,Male,36261,2017,35154
23,Male,36791,2017,36239
24,Male,38808,2017,36768
25,Male,39073,2017,38783
26,Male,37445,2017,39047
27,Male,37102,2017,37418
28,Male,36957,2017,37072
29,Male,35572,2017,36924
30,Male,35467,2017,35536
31,Male,34774,2017,35428
32,Male,33786,2017,34732
33,Male,34032,2017,33742
34,Male,34246,2017,33984
35,Male,34347,2017,34194
36,Male,33701,2017,34291
37,Male,32926,2017,33641
38,Male,30125,2017,32863
39,Male,30169,2017,30063
40,Male,31504,2017,30102
41,Male,31398,2017,31429
42,Male,32214,2017,31319
43,Male,34054,2017,32128
44,Male,35759,2017,33958
45,Male,36884,2017,35653
46,Male,36481,2017,36769
47,Male,37985,2017,36361
48,Male,38668,2017,37853
49,Male,39404,2017,38527
50,Male,38795,2017,39251
51,Male,40421,2017,38635
52,Male,39547,2017,40242
53,Male,39588,2017,39358
54,Male,39078,2017,39382
55,Male,38031,2017,38855
56,Male,36862,2017,37792
57,Male,36217,2017,36608
58,Male,35210,2017,35945
59,Male,34417,2017,34922
60,Male,33311,2017,34109
61,Male,31726,2017,32987
62,Male,31363,2017,31391
63,Male,30581,2017,31003
64,Male,29425,2017,30198
65,Male,29569,2017,29021
66,Male,29668,2017,29123
67,Male,30193,2017,29174
68,Male,30916,2017,29636
69,Male,33121,2017,30285
70,Male,24797,2017,32372
71,Male,22863,2017,24175
72,Male,23308,2017,22228
